ID,prompt,model,repeat,status,error,premise,hypothesis,raw_KB,lemmatized_KB,changed_argument_occurrences,unchanged_argument_occurrences,absent_argument_occurrences,ambiguous_argument_occurrences,empty_argument_occurrences,mapping_details_json
3440104178.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A dog with big ears holds a ball in his mouth.,The dog has big ears.,NO_RELATION,[],0,0,0,0,0,[]
3447155358.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A little girl in a red flowered dress with a tennis racket.,A little girl in red.,NO_RELATION,[],0,0,0,0,0,[]
3455964125.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,"A young woman dressed as a princess is waving to others from inside a ride where the carriage is a large replica of the Disney character, Dumbo.","A female with clothes on is on a moving vehicle, waving her hands left to right in the air.","isa_wn(woman, female); isa_wn(ride, moving vehicle); isa_wn(wave, wave hand left to right)","[[""ride"",""move vehicle""],[""wave"",""wave hand left to right""],[""woman"",""female""]]",1,3,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""ride"",""lemma"":""ride"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""ride"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""moving vehicle"",""lemma"":""move vehicle"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""moving vehicle"",""pos_tags"":[""VBG"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""wave"",""lemma"":""wave"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""wave hand left to right"",""lemma"":""wave hand left to right"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":1,""argument"":""woman"",""lemma"":""woman"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""woman"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""female"",""lemma"":""female"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""female"",""pos_tags"":[""NN""]}]}]"
3471514734.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A small girl in a blue shirt with a posy pattern brushes her teeth with a red and yellow toothbrush.,The girl is cleaning her teeth with a colorful toothbrush,"isa_wn(brush, clean); isa_wn(red and yellow, colorful)","[[""brush"",""clean""],[""red and yellow"",""colorful""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""brush"",""lemma"":""brush"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""clean"",""lemma"":""clean"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""red and yellow"",""lemma"":""red and yellow"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""red and yellow"",""pos_tags"":[""JJ"",""CC"",""JJ""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""colorful"",""lemma"":""colorful"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""colorful"",""pos_tags"":[""JJ""]}]}]"
347186933.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A woman dangles from a blue fabric connected to a tree.,A woman is hanging from a tree.,"isa_wn(dangle, hang); isa_wn(blue fabric, fabric)","[[""blue fabric"",""fabric""],[""dangle"",""hang""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""blue fabric"",""lemma"":""blue fabric"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""blue fabric"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""fabric"",""lemma"":""fabric"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""fabric"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""dangle"",""lemma"":""dangle"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""hang"",""lemma"":""hang"",""decision"":""absent"",""POS_evidence"":[]}]"
3479245321.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Concentration campsite.,A concentration camp.,NO_RELATION,[],0,0,0,0,0,[]
3486059684.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,The restaurant employee is preparing sandwiches in the highly decorated kitchen.,A service worker is making food in a nice kitchen.,"isa_wn(restaurant employee, service worker); isa_wn(prepare, make); isa_wn(sandwich, food); isa_wn(highly decorated, nice)","[[""highly decorate"",""nice""],[""prepare"",""make""],[""restaurant employee"",""service worker""],[""sandwich"",""food""]]",1,4,3,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""highly decorated"",""lemma"":""highly decorate"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""premise"",""span"":""highly decorated"",""pos_tags"":[""RB"",""VBN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""nice"",""lemma"":""nice"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""nice"",""pos_tags"":[""JJ""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""prepare"",""lemma"":""prepare"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""make"",""lemma"":""make"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":1,""argument"":""restaurant employee"",""lemma"":""restaurant employee"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""restaurant employee"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""service worker"",""lemma"":""service worker"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""service worker"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":4,""argument_index"":1,""argument"":""sandwich"",""lemma"":""sandwich"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":4,""argument_index"":2,""argument"":""food"",""lemma"":""food"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""food"",""pos_tags"":[""NN""]}]}]"
3500136982.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A line of rollerbladers crouch down aerodynamically,A group of rollerbladers are crouching.,"isa_wn(line, group); isa_wn(crouch down, crouch)","[[""crouch down"",""crouch""],[""line"",""group""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""crouch down"",""lemma"":""crouch down"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""crouch down"",""pos_tags"":[""VBP"",""RP""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""crouch"",""lemma"":""crouch"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""crouch"",""pos_tags"":[""VBP""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""line"",""lemma"":""line"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""line"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""group"",""lemma"":""group"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""group"",""pos_tags"":[""NN""]}]}]"
3515378674.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,An older man indulging in a bottle of amber liquid.,An old man is drinking some amber liquid from a bottle.,"isa_wn(indulge in, drink); isa_wn(older, old)","[[""indulge in"",""drink""],[""old"",""old""]]",1,1,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""indulge in"",""lemma"":""indulge in"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""drink"",""lemma"":""drink"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""older"",""lemma"":""old"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""premise"",""span"":""older"",""pos_tags"":[""JJR""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""old"",""lemma"":""old"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""old"",""pos_tags"":[""JJ""]}]}]"
3518365400.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A young girl throws sand toward the ocean.,The girl is tossing sand into the ocean,"isa_wn(throw, toss); isa_wn(toward, into)","[[""throw"",""toss""],[""toward"",""into""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""throw"",""lemma"":""throw"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""toss"",""lemma"":""toss"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""toward"",""lemma"":""toward"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""toward"",""pos_tags"":[""IN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""into"",""lemma"":""into"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""into"",""pos_tags"":[""IN""]}]}]"
3523115345.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,non_entailment,,A female researcher videotaping a specimen.,A female is recording her research. `,NO_RELATION,,0,0,0,0,0,
3552435734.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,non_entailment,,The black dog is running through water.,The dog with the black fur gets wet running in water.,NO_RELATION,,0,0,0,0,0,
3562169000.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A blue race car slides off the racetrack and hits white median bumpers with its rear.,The automobile lost control and hit something.,"isa_wn(race car, automobile); isa_wn(slide off, lose control); isa_wn(median bumper, something)","[[""median bumper"",""something""],[""race car"",""automobile""],[""slide off"",""lose control""]]",0,3,3,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""median bumper"",""lemma"":""median bumper"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""something"",""lemma"":""something"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""something"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""race car"",""lemma"":""race car"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""race car"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""automobile"",""lemma"":""automobile"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""automobile"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":1,""argument"":""slide off"",""lemma"":""slide off"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":2,""argument"":""lose control"",""lemma"":""lose control"",""decision"":""absent"",""POS_evidence"":[]}]"
3584860179.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,An old man is sitting in a chair outside a colorfully painted building.,Elderly man is sitting on a chair in outside of a building,"isa_wn(old, elderly); isa_wn(in, on)","[[""in"",""on""],[""old"",""elderly""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""in"",""lemma"":""in"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""in"",""pos_tags"":[""IN""]},{""sentence"":""hypothesis"",""span"":""in"",""pos_tags"":[""IN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""on"",""lemma"":""on"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""on"",""pos_tags"":[""IN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""old"",""lemma"":""old"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""old"",""pos_tags"":[""JJ""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""elderly"",""lemma"":""elderly"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""Elderly"",""pos_tags"":[""JJ""]}]}]"
3586,lasha,anthropic/claude-haiku-4.5,2,non_entailment,,A man is playing the drum,A man is practicing the drum,NO_RELATION,,0,0,0,0,0,
359800617.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A woman is holding a baby while standing in the middle of a room.,A woman holds a young child indoors.,"isa_wn(baby, young child); isa_wn(middle of room, indoors)","[[""baby"",""young child""],[""middle of room"",""indoors""]]",0,3,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""baby"",""lemma"":""baby"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""baby"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""young child"",""lemma"":""young child"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""young child"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""middle of room"",""lemma"":""middle of room"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""indoors"",""lemma"":""indoors"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""indoors"",""pos_tags"":[""NNS""]}]}]"
3612249030.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A boy is carrying a black body board across the sand.,The boy is holding an item.,"isa_wn(carry, hold); isa_wn(body board, item)","[[""body board"",""item""],[""carry"",""hold""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""body board"",""lemma"":""body board"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""body board"",""pos_tags"":[""NN"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""item"",""lemma"":""item"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""item"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""carry"",""lemma"":""carry"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""hold"",""lemma"":""hold"",""decision"":""absent"",""POS_evidence"":[]}]"
3613264553.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A white dog is walking on a rocky hillside.,A dog walks outside.,"isa_wn(rocky hillside, outside)","[[""rocky hillside"",""outside""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""rocky hillside"",""lemma"":""rocky hillside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""rocky hillside"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""outside"",""lemma"":""outside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""outside"",""pos_tags"":[""IN""]}]}]"
3614595423.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Children climb a tree.,Kids climbing.,"isa_wn(child, kid)","[[""child"",""kid""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""child"",""lemma"":""child"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""kid"",""lemma"":""kid"",""decision"":""absent"",""POS_evidence"":[]}]"
3618525295.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,a woman and her dog sitting at an outdoor cafe table,A woman and her pet sit outside at a restaurant.,"isa_wn(dog, pet); isa_wn(cafe, restaurant); isa_wn(outdoor, outside)","[[""cafe"",""restaurant""],[""dog"",""pet""],[""outdoor"",""outside""]]",0,6,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""cafe"",""lemma"":""cafe"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""cafe"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""restaurant"",""lemma"":""restaurant"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""restaurant"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""dog"",""lemma"":""dog"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""dog"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""pet"",""lemma"":""pet"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""pet"",""pos_tags"":[""JJ""]}]},{""relation_index"":3,""argument_index"":1,""argument"":""outdoor"",""lemma"":""outdoor"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""outdoor"",""pos_tags"":[""JJ""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""outside"",""lemma"":""outside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""outside"",""pos_tags"":[""NN""]}]}]"
3629664676.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A dog pulling a rope.,The dog drags the rope.,"isa_wn(pull, drag)","[[""pull"",""drag""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""pull"",""lemma"":""pull"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""drag"",""lemma"":""drag"",""decision"":""absent"",""POS_evidence"":[]}]"
3639617775.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,"The bride in the white dress is surrounded by the groomsmen and bridesmaids, all in black.",a woman in white is surrounded by others,"isa_wn(bride, woman)","[[""bride"",""woman""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""bride"",""lemma"":""bride"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""bride"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""woman"",""lemma"":""woman"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""woman"",""pos_tags"":[""NN""]}]}]"
3639967449.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Two boys sitting and eating ice cream.,The boys are eating.,NO_RELATION,[],0,0,0,0,0,[]
3641,lasha,anthropic/claude-haiku-4.5,2,valid,,The woman is handling a frog,A person is holding a frog,"isa_wn(woman, person); isa_wn(handle, hold)","[[""handle"",""hold""],[""woman"",""person""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""handle"",""lemma"":""handle"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""hold"",""lemma"":""hold"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""woman"",""lemma"":""woman"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""woman"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""person"",""lemma"":""person"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""person"",""pos_tags"":[""NN""]}]}]"
36422830.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A red jeep hangs from the edge of a rocky cliff as a girl looks on.,The vehicle is red.,"isa_wn(jeep, vehicle)","[[""jeep"",""vehicle""]]",0,2,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""jeep"",""lemma"":""jeep"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""jeep"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""vehicle"",""lemma"":""vehicle"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""vehicle"",""pos_tags"":[""NN""]}]}]"
3696246123.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,non_entailment,,Two dogs play with tennis ball in field.,The dogs are romping across the field.,NO_RELATION,,0,0,0,0,0,
3707585013.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A singer is performing before a small crowd outside.,A performer has a small audience outdoors.,"isa_wn(singer, performer); isa_wn(small crowd, small audience); isa_wn(outside, outdoors)","[[""outside"",""outdoors""],[""singer"",""performer""],[""small crowd"",""small audience""]]",0,6,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""outside"",""lemma"":""outside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""outside"",""pos_tags"":[""IN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""outdoors"",""lemma"":""outdoors"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""outdoors"",""pos_tags"":[""NNS""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""singer"",""lemma"":""singer"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""singer"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""performer"",""lemma"":""performer"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""performer"",""pos_tags"":[""NN""]}]},{""relation_index"":3,""argument_index"":1,""argument"":""small crowd"",""lemma"":""small crowd"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""small crowd"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":3,""argument_index"":2,""argument"":""small audience"",""lemma"":""small audience"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""small audience"",""pos_tags"":[""JJ"",""NN""]}]}]"
3726076549.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Man sliding down stair handrails on a bike.,A biker glides down handrails.,"isa_wn(man, biker); isa_wn(slide, glide)","[[""man"",""biker""],[""slide"",""glide""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""man"",""lemma"":""man"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""Man"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""biker"",""lemma"":""biker"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""biker"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""slide"",""lemma"":""slide"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""glide"",""lemma"":""glide"",""decision"":""absent"",""POS_evidence"":[]}]"
3732782360.jpg#4r1e,lasha,anthropic/claude-haiku-4.5,2,non_entailment,,A man in a suit and tie is opening a door.,There is one man in this picture.,NO_RELATION,,0,0,0,0,0,
3746285587.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A woman in a brown shirt is kneeling in the street.,A woman is on the ground outside.,"isa_wn(kneel, on ground); isa_wn(street, outside)","[[""kneel"",""on ground""],[""street"",""outside""]]",0,2,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""kneel"",""lemma"":""kneel"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""on ground"",""lemma"":""on ground"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":1,""argument"":""street"",""lemma"":""street"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""street"",""pos_tags"":[""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""outside"",""lemma"":""outside"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""outside"",""pos_tags"":[""IN""]}]}]"
3760793412.jpg#1r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,"A young boy sits on the shoulders of a woman, who is carrying a young girl.",A woman is with a couple of children,"isa_wn(sit on shoulder, be with); isa_wn(carry, be with); isa_wn(boy and girl, couple of children)","[[""boy and girl"",""couple of child""],[""carry"",""be with""],[""sit on shoulder"",""be with""]]",1,0,5,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""boy and girl"",""lemma"":""boy and girl"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""couple of children"",""lemma"":""couple of child"",""decision"":""changed"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""couple of children"",""pos_tags"":[""NN"",""IN"",""NNS""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""carry"",""lemma"":""carry"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":2,""argument_index"":2,""argument"":""be with"",""lemma"":""be with"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":1,""argument"":""sit on shoulder"",""lemma"":""sit on shoulder"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":3,""argument_index"":2,""argument"":""be with"",""lemma"":""be with"",""decision"":""absent"",""POS_evidence"":[]}]"
3760799822.jpg#2r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,"Two women behind a net check their cellphones, while two men sitting on a curb chat to each other.",The two women are checking their celluar devices.,"isa_wn(cellphone, cellular device)","[[""cellphone"",""cellular device""]]",0,0,2,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""cellphone"",""lemma"":""cellphone"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""cellular device"",""lemma"":""cellular device"",""decision"":""absent"",""POS_evidence"":[]}]"
3791591952.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics.,"isa_wn(acrobatic move, acrobatic)","[[""acrobatic move"",""acrobatic""]]",0,1,1,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""acrobatic move"",""lemma"":""acrobatic move"",""decision"":""absent"",""POS_evidence"":[]},{""relation_index"":1,""argument_index"":2,""argument"":""acrobatic"",""lemma"":""acrobatic"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""acrobatic"",""pos_tags"":[""JJ""]}]}]"
3794595430.jpg#3r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A woman stands at a podium with a slide show behind her.,A woman is standing at a podium.,NO_RELATION,[],0,0,0,0,0,[]
3799984714.jpg#0r1e,lasha,anthropic/claude-haiku-4.5,2,valid,,A man playing a banjo near a tree at an outdoor event.,The man is playing a musical instrument at an event.,"isa_wn(banjo, musical instrument); isa_wn(outdoor event, event)","[[""banjo"",""musical instrument""],[""outdoor event"",""event""]]",0,4,0,0,0,"[{""relation_index"":1,""argument_index"":1,""argument"":""banjo"",""lemma"":""banjo"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""banjo"",""pos_tags"":[""NN""]}]},{""relation_index"":1,""argument_index"":2,""argument"":""musical instrument"",""lemma"":""musical instrument"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""hypothesis"",""span"":""musical instrument"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":1,""argument"":""outdoor event"",""lemma"":""outdoor event"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""outdoor event"",""pos_tags"":[""JJ"",""NN""]}]},{""relation_index"":2,""argument_index"":2,""argument"":""event"",""lemma"":""event"",""decision"":""unchanged"",""POS_evidence"":[{""sentence"":""premise"",""span"":""event"",""pos_tags"":[""NN""]},{""sentence"":""hypothesis"",""span"":""event"",""pos_tags"":[""NN""]}]}]"
